GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Householder lived in owner-occupied housing units,Estimate; Total: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Householder lived in renter-occupied housing units,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Same house 1 year ago: - Householder lived in owner-occupied housing units,Estimate; Total: - Same house 1 year ago: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Same house 1 year ago: - Householder lived in renter-occupied housing units,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Moved within same county: - Householder lived in owner-occupied housing units,Estimate; Total: - Moved within same county: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Moved within same county: - Householder lived in renter-occupied housing units,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Moved from different county within same state: - Householder lived in owner-occupied housing units,Estimate; Total: - Moved from different county within same state: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Moved from different county within same state: - Householder lived in renter-occupied housing units,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Moved from different state: - Householder lived in owner-occupied housing units,Estimate; Total: - Moved from different state: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Moved from different state: - Householder lived in renter-occupied housing units,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Householder lived in owner-occupied housing units,Margin of Error; Total: - Moved from abroad: - Householder lived in owner-occupied housing units,Estimate; Total: - Moved from abroad: - Householder lived in renter-occupied housing units,Margin of Error; Total: - Moved from abroad: - Householder lived in renter-occupied housing units
0500000US06001,06001,"Alameda County, California",1578306,1317,876019,7381,702287,7464,1378727,4424,814820,6837,563907,7157,104603,3624,31816,1642,72787,2985,52926,2225,17989,1069,34937,1985,22010,1523,5375,628,16635,1336,20040,1116,6019,621,14021,996
0500000US06013,06013,"Contra Costa County, California",1101965,850,722925,6012,379040,6076,957822,4536,663444,5605,294378,6368,79854,3886,30555,2087,49299,3243,41543,2391,19100,1712,22443,1888,12801,1166,5462,718,7339,909,9945,1204,4364,587,5581,1054
0500000US06075,06075,"San Francisco County, California",834977,1120,362591,4685,472386,4717,724483,2804,338075,4490,386408,4738,52724,2286,14184,1102,38540,2150,26018,1443,4898,665,21120,1338,19357,1194,2800,432,16557,1088,12395,1228,2634,503,9761,1052
0500000US06077,06077,"San Joaquin County, California",699091,1401,386343,6073,312748,5944,596731,4173,355724,5518,241007,5516,67271,3324,18112,1719,49159,3237,24868,2242,8692,993,16176,2006,6761,959,1894,575,4867,820,3460,678,1921,558,1539,450
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2953,189,2621,228,332,171,2418,228,2264,241,154,86,235,141,167,120,68,94,112,81,69,56,43,49,158,135,91,99,67,91,30,31,30,31,0,12
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1889,89,1154,115,735,115,1694,112,1078,118,616,112,64,40,7,10,57,38,62,44,38,40,24,18,28,27,0,12,28,27,41,47,31,44,10,11
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",5050,303,2708,375,2342,360,4380,351,2543,364,1837,388,218,118,24,37,194,109,275,145,130,119,145,95,142,106,11,19,131,105,35,41,0,17,35,41
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",3820,232,1591,283,2229,344,3296,235,1509,272,1787,308,126,68,40,37,86,56,294,157,34,40,260,165,95,71,8,15,87,69,9,15,0,12,9,15
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3864,308,1474,277,2390,341,3000,318,1406,282,1594,326,319,136,60,50,259,125,340,195,0,12,340,195,169,104,8,12,161,105,36,36,0,12,36,36
