FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6001400100,2937,Alameda ,3.970573329,1.866565771,No,0.029592333,8.69794377,27.43693284,485.3112108,929.74,18.5,2.99,7.6,4,70.8,4.8,15.8,4.7
6001400200,1974,Alameda ,1.810257388,0.252238618,No,0.029592333,8.69794377,42.19,442.4680396,1392.34,24.27,1.24,11.2,7.6,78.3,1.6,7.4,5.1
6001400300,4865,Alameda ,12.04113487,17.63147938,No,0.029592333,8.69794377,42.19,426.1274354,1207.3,37.93,4.13,14.3,8.2,66.9,10.5,8.7,5.7
6001400400,3703,Alameda ,10.91263375,15.02080969,No,0.029592333,8.69794377,42.19,444.9574376,1153.54,60.86,3.98,16.8,9,65.5,12.1,7.5,6
6001400500,3517,Alameda ,18.54944122,34.58191449,No,0.029592333,8.69794377,42.19,448.931402,668.28,110.37,5.59,25.1,9.7,50.6,26.5,6,7.3
6001400600,1571,Alameda ,18.27974311,33.95131795,No,0.029592333,8.69794377,42.19,426.719924,1743.09,122.34,1.43,25.7,8,42.7,39.1,5.1,5.1
6001400700,4206,Alameda ,35.8665738,69.80703746,No,0.029592333,8.69794377,42.0798493,428.2103134,646.61,141.49,5.76,50.5,10.4,29.5,49.2,6.3,4.6
6001400800,3594,Alameda ,34.18896917,67.04502459,No,0.029592333,8.69794377,33.75,437.6891298,384.87,146.75,9.51,32.4,10.2,31.6,40.7,12.1,5.4
6001400900,2302,Alameda ,34.01828563,66.74233825,No,0.029592333,8.69794377,34.28165241,410.9216528,378.29,165.16,7.39,32.5,13.3,31,43.7,5.8,6.3
6001401000,5678,Alameda ,41.80859335,78.5218817,Yes,0.029592333,8.69794377,52.17800092,392.0093823,1720.02,129.47,7.26,42.1,14.2,22.3,50.2,7.6,5.8
6001401100,4156,Alameda ,29.49998106,58.51935931,No,0.029592333,8.69794377,50.62159386,394.9128314,1537.35,122.26,8.28,32.9,12.6,46.5,23.5,10.8,6.8
6001401200,2416,Alameda ,18.03418193,33.27027368,No,0.029592333,8.69794377,50.63961471,399.3313973,758.13,114.55,3.27,23,9.4,58.4,17.4,9.4,5.4
6001401300,3528,Alameda ,36.69231519,71.28263337,No,0.029592333,8.69794377,54.34,362.4787799,1341.83,101.64,4.28,56.2,13.8,26.4,35.6,19.4,4.8
6001401400,4314,Alameda ,46.92278413,85.39538403,Yes,0.029592333,8.69794377,56.11829593,364.5603538,1639.88,105.74,7.86,67.1,21.1,15.2,48.4,10,5.2
6001401500,2630,Alameda ,44.67875512,82.39374448,Yes,0.029592333,8.69794377,76.11,362.538479,916.65,134.76,8.14,45,15.4,20,52.9,7.6,4
6001401600,2163,Alameda ,41.3505194,77.84083743,Yes,0.029592333,8.69794377,73.41736339,350.0142988,385.52,147.98,8.09,48.2,20.8,16.2,46.5,12,4.6
6001401700,2667,Alameda ,46.22548667,84.56299659,Yes,0.029592333,8.69794377,75.68565163,342.7641759,2080.53,159.24,6.22,37.8,25.6,25.9,33.1,10.3,5
6001401800,1703,Alameda ,47.53780186,86.25299533,Yes,0.029592333,8.69794377,76.11,330.9753226,180.13,165.52,8.3,61.7,19.3,15,57.4,3.3,4.9
6001402200,2385,Alameda ,49.4552729,88.321352,Yes,0.029592333,8.69794377,76.11,325.5638061,769.38,165.52,6.27,56.8,30.2,16.3,36.4,11.4,5.7
6001402400,2351,Alameda ,42.76537909,79.8713583,Yes,0.029592333,8.69794377,76.11,340.4552552,186.3,165.52,6.7,49.7,9.4,12.6,57.8,14.2,6
6001402500,1784,Alameda ,43.96014918,81.54874511,Yes,0.029592333,8.69794377,76.11,330.6953216,531.54,165.52,7.3,75.5,4.5,8.1,66.8,16.5,4
6001402600,1151,Alameda ,34.99603986,68.49539665,No,0.029592333,8.69794377,76.11,330.3285213,765.85,117.49,3.51,66.5,5.7,11.3,29.5,50.7,2.7
6001402700,1569,Alameda ,40.22520854,76.39046538,Yes,0.029592333,8.69794377,68.35532362,341.0407686,609.13,102.28,10.84,51,15.5,12.7,56.2,10.3,5.4
6001402800,3345,Alameda ,38.17420734,73.45188548,No,0.029592333,8.69794377,54.34442987,341.9095547,459.86,123.88,5.52,60.4,8.3,23.7,41.2,21.5,5.4
6001402900,1434,Alameda ,26.6468131,53.2475722,No,0.029592333,8.69794377,54.34,342.8772537,294.2,124.1,0,49,9.6,23.5,20.2,43.2,3.5
6001403000,2788,Alameda ,46.63411961,84.99180224,Yes,0.029592333,8.69794377,54.34,330.2593374,1220.7,133.35,5.43,65.7,1.3,4.2,4.4,88.3,1.7
6001403100,2238,Alameda ,34.08809675,66.89368142,No,0.029592333,8.69794377,65.29077384,330.4859519,1052.4,165.44,3.95,40.9,14.3,18.2,30.3,33.9,3.3
6001403300,4054,Alameda ,44.36568798,82.12889393,Yes,0.029592333,8.69794377,48.0701931,325.1623292,1600.1,162.39,5.36,40.2,6,25.4,11.2,54,3.4
6001403400,4146,Alameda ,29.99281516,59.46525413,No,0.029592333,8.69794377,54.34,341.8660478,430.14,122.15,5.09,35.7,9.3,32.6,19.7,32.7,5.7
6001403501,4374,Alameda ,24.96346898,49.80451507,No,0.029592333,8.69794377,54.34,365.4110522,1142.45,46.61,4.94,50.2,10.1,31.3,27.9,24,6.7
6001403502,1991,Alameda ,15.76133322,27.16609913,No,0.029592333,8.69794377,54.34,363.2207703,2935.47,26,5.19,21.1,12.2,44.2,26.6,10.9,6.1
6001403600,4482,Alameda ,19.15018972,36.20885358,No,0.029592333,8.69794377,54.34,362.0819371,2123.53,56.26,5.68,25.4,9.7,34.4,37.9,12.3,5.7
6001403701,2587,Alameda ,8.892339675,10.61924581,No,0.029592333,8.69794377,54.34,357.0338436,537.97,49.77,2.1,23.3,9.1,49.7,21,13.8,6.3
6001403702,1724,Alameda ,12.67250835,19.28364233,No,0.029592333,8.69794377,54.34,352.55384,1418.49,53.34,3.94,14.8,8.6,56.7,18.1,10,6.6
6001403800,3461,Alameda ,11.71760881,16.77386808,No,0.029592333,8.69794377,54.34,373.1609215,945.68,56.26,4.75,12.7,8.4,62.9,9.7,13.5,5.6
6001403900,3584,Alameda ,17.12786276,30.65960399,No,0.029592333,8.69794377,54.34,372.4207113,1896.48,43.06,4.78,24.2,9,55.4,16,13.7,6
6001404000,2819,Alameda ,7.746881955,7.81939715,No,0.029592333,8.69794377,54.34,384.8651217,1104.41,32.64,1.95,20.2,10.8,57.3,14.2,11.6,6
6001404101,2929,Alameda ,8.121516758,8.714844243,No,0.029592333,8.69794377,53.9408119,401.5484873,464.4,30.93,3.95,16.5,9.4,67.6,6.2,11.7,5.2
6001404102,2283,Alameda ,11.71877295,16.78648001,No,0.029592333,8.69794377,54.34,391.1998137,421.88,34.14,3.75,19.7,6.5,67.5,8,13.4,4.6
6001404200,3483,Alameda ,5.657591885,4.023205953,No,0.029592333,8.69794377,37.69521533,415.5282005,547.4,20.18,4.36,6.6,5.4,72.9,4.9,11.7,5.2
6001404300,3218,Alameda ,4.613233813,2.610669694,No,0.029592333,8.69794377,40.35162783,433.3694976,1089.96,25.23,4.12,6.8,5.3,73.7,4.4,11.6,5
6001404400,5314,Alameda ,5.617997282,3.960146298,No,0.029592333,8.69794377,23.83838128,429.0343298,1273.83,23.28,5.63,8.9,6.7,67.6,4.8,15.5,5.5
6001404501,1677,Alameda ,4.489165928,2.434102661,No,0.029592333,8.69794377,22.17,395.6194896,723.5,28.07,3.6,2.9,5.8,72.2,4.3,11.7,6.1
6001404502,5784,Alameda ,4.320106118,2.345819145,No,0.029592333,8.69794377,23.12817743,406.808907,586.44,31.98,4.28,5.3,6,72.1,6.3,9.6,6.1
6001404600,4353,Alameda ,2.053582452,0.353134065,No,0.029592333,8.69794377,18.99328199,386.5610129,423.6,28.37,2.42,7.7,5.5,73,6,10.3,5.2
6001404700,1954,Alameda ,8.22231712,9.067978307,No,0.029592333,8.69794377,22.17,379.0621952,611.54,65.06,4.79,6.6,6,71.4,8,9.4,5.2
6001404800,2684,Alameda ,17.05815835,30.52087275,No,0.029592333,8.69794377,22.17,367.3852204,394.52,80.31,5.39,32.4,11.5,45.5,19.7,17.2,6.1
6001404900,4129,Alameda ,17.65644561,32.28654307,No,0.029592333,8.69794377,22.71638938,362.342611,1306.63,74.94,4.79,21.1,9.7,54,11.2,20,5.2
6001405000,3136,Alameda ,9.62351795,12.3723042,No,0.029592333,8.69794377,33.96044226,364.8263842,1329.47,46.34,3.57,17.2,7.3,65.6,9.6,12,5.5
6001405100,4197,Alameda ,6.344303181,5.334846765,No,0.029592333,8.69794377,44.40259075,369.523345,1228.36,49.59,3.3,3.1,5.4,68,11.8,9.3,5.4
6001405200,4597,Alameda ,21.8160128,42.70399798,No,0.029592333,8.69794377,54.34,352.4488129,1364.82,53.98,5.8,19.7,9.4,38,15.2,31.2,6.2
6001405301,2603,Alameda ,23.80275486,47.16862152,No,0.029592333,8.69794377,54.34,339.6931224,404.09,97,5.63,19.5,14.2,41.3,23.2,14.8,6.4
6001405302,2530,Alameda ,33.43768795,65.7838315,No,0.029592333,8.69794377,54.13974349,335.558224,326.99,73.61,5.43,47.4,14.6,23.4,19.3,38,4.7
6001405401,3957,Alameda ,39.67805991,75.55807794,Yes,0.029592333,8.69794377,49.32591878,334.9710481,295.33,97,6.77,58.6,21,11.6,19.3,44.3,3.9
6001405402,3114,Alameda ,30.09002158,59.65443309,No,0.029592333,8.69794377,44.30802967,332.1687385,280.89,97,4.46,67.6,19.7,8.8,23.1,45.8,2.5
6001405500,3643,Alameda ,27.33674928,54.50876529,No,0.029592333,8.69794377,52.05272935,341.3077428,264.6,97,6.57,43,12.3,15.8,20.2,47.2,4.5
6001405600,3137,Alameda ,25.43373457,50.66212637,No,0.029592333,8.69794377,54.33357442,348.6929005,997.19,58.65,7.8,38.9,13.1,20.8,22.6,38.5,5
6001405700,3243,Alameda ,30.46454242,60.42376088,No,0.029592333,8.69794377,40.53220811,347.0211008,1284.52,52.69,5.98,51.6,17.2,10.7,32.3,36,3.8
6001405800,3965,Alameda ,24.19725289,48.13974019,No,0.029592333,8.69794377,44.7916937,340.053314,207.52,86.89,5.33,48.8,18.4,6.2,19.4,53.4,2.8
6001405901,3910,Alameda ,34.89461916,68.28099382,No,0.029592333,8.69794377,44.27,330.5684795,235.29,95.23,4.97,67.5,40,2.9,13.6,40.7,2.8
6001405902,3035,Alameda ,34.49350422,67.46121831,No,0.029592333,8.69794377,44.27,333.1285296,276.41,97,6.65,59,23.2,5.8,14.2,53.7,3.2
6001406000,3450,Alameda ,50.28433057,89.12851558,Yes,0.029592333,8.69794377,44.58035829,324.0618822,1732.58,93.8,5.92,61.9,21.3,16.7,12.1,46.8,3.1
6001406100,4381,Alameda ,47.31339596,85.81157775,Yes,0.029592333,8.69794377,41.02840648,342.794044,1573.2,105.75,3.97,50.1,57.7,16.3,10.5,12.6,2.9
6001406201,4649,Alameda ,39.63601886,75.48240636,Yes,0.029592333,8.69794377,43.22234304,330.7135756,236.09,110.47,6.2,59.5,49.2,3.1,15.5,30.7,1.6
6001406202,4718,Alameda ,36.56900054,70.97994703,No,0.029592333,8.69794377,39.46588884,328.5767958,410.99,110.47,3.42,70.8,65.5,5.6,11.9,14.4,2.6
6001406300,4113,Alameda ,27.58525711,54.98801867,No,0.029592333,8.69794377,38.78236492,338.0668578,468.88,110.47,4.78,53.2,38.3,6.2,18.2,34.7,2.7
6001406400,2145,Alameda ,30.26298778,59.95711943,No,0.029592333,8.69794377,34.76983475,348.5487637,1789.36,58.55,8.98,44.2,17.3,24.6,27.5,27.1,3.5
6001406500,5930,Alameda ,34.75761316,67.91524782,No,0.029592333,8.69794377,38.37,342.1172625,598.83,88.63,6.97,54.3,44,8.5,19.7,24.5,3.4
6001406601,4596,Alameda ,25.87926403,51.54496153,No,0.029592333,8.69794377,37.27197925,354.88834,1476.8,66.48,5.24,47.3,23.4,12.1,26.7,33.5,4.3
6001406602,2493,Alameda ,24.52106687,48.94690377,No,0.029592333,8.69794377,31.99934797,356.2455842,1762.85,80.31,2.27,54.8,29.6,11.1,26,28.4,4.9
6001406700,5048,Alameda ,15.24432727,25.69050322,No,0.029592333,8.69794377,22.32227999,367.9201531,564.71,80.31,3.89,22.6,8.8,49.5,13.6,22.4,5.7
6001406800,3428,Alameda ,12.7661641,19.54849287,No,0.029592333,8.69794377,29.92933741,363.7885203,548.79,72.72,4.32,15.4,11.1,39.6,15.1,29.4,4.8
6001406900,3719,Alameda ,16.04768852,27.8471434,No,0.029592333,8.69794377,36.5689492,362.9341602,704.15,84.37,6.87,29.4,12.7,35.8,21.8,22.9,6.8
6001407000,5885,Alameda ,27.21377167,54.26913861,No,0.029592333,8.69794377,38.37,352.526516,1393.73,64.52,7.3,56.1,26.3,11.9,25.3,32.4,4.1
6001407101,3414,Alameda ,27.1793556,54.21869088,No,0.029592333,8.69794377,38.37,340.5029885,392.75,110.47,3.96,64.1,56.1,6.6,15.1,19.2,2.9
6001407102,4351,Alameda ,32.92800692,64.78748896,No,0.029592333,8.69794377,38.37,345.968525,441.53,107.51,4.85,37.8,48.2,8.6,20.9,20,2.3
6001407200,6746,Alameda ,41.75975761,78.45882205,Yes,0.029592333,8.69794377,38.37,338.7862795,388.04,110.47,4.67,66.8,74.8,6.4,6.7,10.5,1.6
6001407300,2598,Alameda ,52.53924686,91.15903645,Yes,0.029592333,8.69794377,38.35423385,364.462799,1406.6,99.49,5.92,56.3,63.1,13.2,12.7,9.2,1.9
6001407400,3954,Alameda ,40.61695176,76.93277841,Yes,0.029592333,8.69794377,38.37,372.9750358,256.1,110.47,4.23,55.1,64.9,3.4,19.9,9.9,2
6001407500,3931,Alameda ,37.58567722,72.61949805,No,0.029592333,8.69794377,38.37,361.9251223,208.82,103.08,7.1,68.4,49.5,3.4,37.3,7.6,2.3
6001407600,6027,Alameda ,30.38658627,60.23458191,No,0.029592333,8.69794377,38.37,353.9183303,345.52,97.97,6.01,47.2,34.8,11.4,35.3,13.9,4.6
6001407700,4109,Alameda ,13.10790411,20.40610417,No,0.029592333,8.69794377,38.37,358.5618362,325.1,77.14,8.2,26.9,13.6,22.5,51,8.1,4.8
6001407800,2425,Alameda ,15.17063825,25.52654811,No,0.029592333,8.69794377,33.87723914,361.5844213,2143.41,59.07,4.49,26.1,17.5,33.7,32.5,10.3,6
6001407900,2706,Alameda ,12.8928858,19.7628957,No,0.029592333,8.69794377,33.44772524,364.1966481,1650.74,82.49,3.42,10.5,13.1,39.2,22.7,17.8,7.2
6001408000,2671,Alameda ,5.944267218,4.578130912,No,0.029592333,8.69794377,15.04578496,372.2735767,387.92,48.25,4.49,10.6,9.6,51.8,12.8,19.8,6
6001408100,5991,Alameda ,12.19002697,18.06028503,No,0.029592333,8.69794377,17.63808283,373.9223069,783.57,82.1,5.19,9.7,7.7,36.1,30.5,20.2,5.5
6001408200,4054,Alameda ,16.41884384,28.78042628,No,0.029592333,8.69794377,19.83182204,372.9112952,362.81,170.91,8.16,38.2,20.2,16.9,52.9,5.3,4.7
6001408300,4167,Alameda ,24.51646341,48.90906798,No,0.029592333,8.69794377,19.11,381.7665105,2584.77,170.91,6.15,29.3,16.2,24,45,8.7,6.1
