serialno,bld,rntp,ybl
2013000000253,6,2100,1
2013000000916,8,1100,1
2013000000982,8,1600,2
2013000002424,2,3000,1
2013000002555,5,1700,2
2013000003565,3,1200,1
2013000003963,6,1700,5
2013000005811,5,1200,4
2013000005847,5,2800,2
2013000007582,2,3600,1
2013000007605,6,1800,1
2013000008150,8,3000,1
2013000010036,6,1400,7
2013000010139,5,900,7
2013000010287,3,2800,1
2013000010807,2,600,7
2013000010836,9,1800,5
2013000011778,3,880,1
2013000013177,6,3600,1
2013000014101,5,400,1
2013000015051,6,200,6
2013000015056,2,3600,1
2013000017559,6,2700,1
2013000020275,9,260,7
2013000023982,9,390,1
2013000024029,6,1000,2
2013000025368,9,600,1
2013000025579,9,220,8
2013000025700,5,1800,1
2013000025709,9,2500,8
2013000025876,9,2200,2
2013000026247,2,1300,3
2013000027390,5,1400,3
2013000027772,2,1600,3
2013000028778,9,30,3
2013000029003,5,1300,4
2013000029430,8,400,1
2013000029699,2,2900,1
2013000031376,3,1200,3
2013000034549,9,1700,8
2013000035145,8,1000,2
2013000036412,5,1400,2
2013000037104,8,2000,3
2013000037895,6,2100,6
2013000039618,5,2000,1
2013000040063,5,2200,3
2013000040982,9,1100,2
2013000041232,6,2000,1
2013000041827,4,2000,1
2013000042902,2,560,5
2013000045213,5,1600,6
2013000045268,8,800,1
2013000049010,4,1500,2
2013000050651,8,1300,1
2013000051743,5,2300,5
2013000052136,8,1600,1
2013000052483,5,1900,4
2013000053193,6,1100,1
2013000053302,3,3600,1
2013000054617,4,1900,6
2013000054808,8,2500,4
2013000055490,8,300,1
2013000057265,5,1500,1
2013000060364,8,660,3
2013000060997,9,3600,9
2013000062608,4,1900,1
2013000067123,9,600,6
2013000067342,6,750,1
2013000067978,4,2000,4
2013000068002,6,2300,1
2013000071140,9,3600,12
2013000072110,9,450,1
2013000072292,9,260,4
2013000072581,9,1200,14
2013000073819,6,2000,1
2013000074938,4,1900,1
2013000079580,6,1400,1
2013000080046,8,390,13
2013000081115,6,500,7
2013000081292,6,2000,1
2013000081842,9,1100,1
2013000083037,4,2300,1
2013000084750,9,2500,15
2013000086220,5,1600,3
2013000087190,9,270,7
2013000087248,4,3600,1
2013000088437,2,1500,1
2013000088595,2,1500,1
2013000089581,4,2200,7
2013000089689,9,3600,7
2013000090194,4,2800,1
2013000090421,6,3600,1
2013000091344,8,3000,1
2013000092067,6,910,4
2013000092703,6,2500,2
2013000092886,3,1300,1
2013000092971,6,2000,6
2013000093687,8,490,1
2013000095439,9,520,5
2013000096628,9,400,4
2013000099267,5,1700,4
2013000099581,2,1900,3
2013000100008,8,950,2
2013000100636,8,1500,1
2013000101903,3,600,1
2013000102950,4,900,5
2013000103623,9,2800,6
2013000103828,3,2900,8
2013000103839,8,1200,4
2013000104451,3,2100,5
2013000105044,8,2000,6
2013000105496,9,3600,5
2013000105504,9,2000,3
2013000106774,5,1200,1
2013000107746,6,1700,3
2013000108449,9,2000,3
2013000109403,8,2100,1
2013000112345,9,2100,4
2013000114406,6,1600,3
2013000115412,2,2500,1
2013000117357,5,1300,3
2013000119463,9,190,4
2013000120184,5,1500,3
2013000121049,4,880,7
2013000121358,8,1000,1
2013000122200,5,2800,1
2013000122241,5,3600,3
2013000122804,9,210,6
2013000123185,9,230,1
2013000126963,9,1900,8
2013000127514,5,3000,1
2013000129145,3,2100,6
2013000131114,3,500,2
2013000131718,6,2900,3
2013000132013,5,1600,1
2013000132144,9,500,1
2013000132276,6,1500,1
2013000133697,6,610,1
2013000135170,2,900,3
2013000135420,6,1700,5
2013000135590,5,3600,3
2013000136257,9,400,1
2013000136728,3,2700,1
2013000138422,3,40,9
2013000138426,2,420,1
2013000138898,2,800,1
2013000141206,6,2200,2
2013000142284,5,2400,3
2013000145053,2,1500,2
2013000145492,4,1600,4
2013000147143,8,450,6
2013000147392,3,800,5
2013000148113,6,1800,4
2013000148343,4,1700,5
2013000149303,6,1900,2
2013000151710,2,400,1
2013000152256,9,2200,12
2013000152557,6,1600,3
2013000154010,6,860,3
2013000156092,6,1800,1
2013000160564,5,2000,2
2013000161615,8,2000,1
2013000163210,8,1700,1
2013000164281,3,100,8
2013000164762,8,1300,5
2013000164829,6,1900,1
2013000165198,6,1300,1
2013000165566,8,2300,4
2013000166480,5,3600,3
2013000166991,5,1600,4
2013000168031,3,2200,7
2013000168994,6,2400,4
2013000169014,3,2000,3
2013000170859,8,2500,8
2013000175312,6,300,1
2013000175358,2,1300,5
2013000175530,3,250,2
2013000176872,6,490,1
2013000176885,5,2500,6
2013000179746,8,700,1
2013000179791,9,490,1
2013000180096,9,1200,1
2013000180151,9,1300,5
2013000180876,2,3600,2
2013000181935,9,3600,7
2013000182027,6,2000,4
2013000182641,9,440,6
2013000183400,9,3000,5
2013000184415,5,1700,1
2013000184492,5,2000,5
2013000184719,8,3600,7
2013000185645,3,2500,1
2013000186060,8,1100,3
2013000186261,6,1600,4
2013000188452,5,1700,1
2013000189867,6,1000,3
2013000190869,9,2400,5
2013000191254,3,1000,3
2013000191408,8,1900,1
2013000192878,9,1600,1
2013000194064,3,3600,7
2013000195828,9,240,4
2013000197946,10,1100,1
2013000200419,6,1400,3
2013000200423,8,3600,7
2013000200859,6,800,1
2013000202406,6,1400,1
2013000202641,3,950,1
2013000203048,5,750,4
2013000203532,9,240,6
2013000203714,6,860,1
2013000203834,8,1500,1
2013000205733,6,1400,3
2013000206203,5,350,3
2013000207859,4,2000,5
2013000208698,9,2500,5
2013000210106,6,1100,2
2013000210911,8,600,2
2013000211670,8,1800,7
2013000211807,6,1600,1
2013000212375,5,890,1
2013000212537,3,700,1
2013000212754,9,800,1
2013000213241,4,1800,5
2013000213376,6,1400,4
2013000213718,5,1500,2
2013000214537,4,2100,1
2013000214697,8,1900,6
2013000216664,6,920,1
2013000218293,6,1400,4
2013000219551,6,1800,1
2013000221038,9,2600,6
2013000221113,8,300,4
2013000221485,9,850,1
2013000221691,9,1500,3
2013000221770,8,2500,1
2013000221774,5,2400,3
2013000222225,4,2300,1
2013000223737,4,2500,1
2013000224389,6,2000,1
2013000226018,8,1300,1
2013000226330,9,90,6
2013000228131,4,570,1
2013000228635,4,1800,1
2013000229182,3,2400,1
2013000229220,2,1600,2
2013000230007,2,1200,3
2013000232274,6,2000,1
2013000233977,9,2800,12
2013000237157,3,2200,1
2013000238033,6,90,3
2013000239384,4,1000,1
2013000241404,6,550,2
2013000244456,8,2000,1
2013000246709,9,1100,11
2013000247427,6,1000,4
2013000248635,5,2000,1
2013000254918,5,1900,1
2013000255010,4,1200,6
2013000256075,5,1900,1
2013000256572,8,2000,1
2013000256876,6,1600,4
2013000257228,4,2100,1
2013000258364,6,2500,5
2013000259146,6,400,3
2013000260471,2,1600,3
2013000263526,8,1200,8
2013000263953,6,1600,1
2013000264332,2,2600,6
2013000264806,9,2100,2
2013000265025,6,2500,5
2013000265196,5,1900,5
2013000265912,9,590,1
2013000267020,3,3600,5
2013000267374,8,210,2
2013000268433,5,2400,1
2013000269164,8,1900,1
2013000270906,4,1100,1
2013000271008,4,2000,1
2013000272026,4,1200,1
2013000273167,4,1200,3
2013000273201,5,1400,1
2013000273977,8,250,1
2013000274253,6,1400,1
2013000274917,6,660,8
2013000275586,5,900,3
2013000276008,8,1000,5
2013000276330,4,1900,1
2013000276829,5,2100,4
2013000276986,9,2800,12
2013000277693,5,880,4
2013000278515,6,2400,5
2013000278783,5,2400,1
2013000279332,9,2500,12
2013000279595,9,630,1
2013000280192,3,350,9
2013000280316,3,800,3
2013000280411,6,1500,1
2013000280710,9,1500,5
2013000283666,6,400,1
2013000287227,8,1800,1
2013000289441,4,1700,3
2013000292636,6,500,3
2013000293287,8,1600,1
2013000293293,2,2400,8
2013000293468,9,900,1
2013000299037,9,470,5
2013000299104,5,1300,6
2013000299900,4,1800,1
2013000300573,6,3600,1
2013000301252,8,1600,1
2013000302673,9,1800,4
2013000303330,8,1900,1
2013000303735,2,1900,1
2013000306422,6,3600,1
2013000307272,3,1900,1
2013000308382,3,500,1
2013000308684,5,3000,1
2013000308881,8,3600,12
2013000309065,6,970,1
2013000309247,6,1700,15
2013000309430,9,400,4
2013000309763,2,1300,1
2013000310239,6,1200,1
2013000310410,9,3600,1
2013000312160,5,1500,1
2013000312474,6,2300,5
2013000313463,8,1400,1
2013000314637,6,3600,1
2013000315949,8,2700,7
2013000316054,8,1300,4
2013000318306,3,2900,1
2013000318336,2,1500,2
2013000318476,9,610,4
2013000318619,4,1200,1
2013000319224,2,1500,1
2013000319592,2,950,2
2013000322871,6,1300,1
2013000325399,3,870,1
2013000325749,6,1400,1
2013000328004,9,500,1
2013000328068,5,1100,2
2013000328449,9,2700,2
2013000328942,6,3600,1
2013000329714,8,1000,1
2013000330112,6,560,1
2013000330868,8,840,2
2013000331065,8,380,1
2013000331743,9,1900,3
2013000332468,9,550,1
2013000333949,3,1300,4
2013000335342,5,860,4
2013000335350,9,380,1
2013000335705,5,2500,6
2013000336250,6,850,1
2013000336619,5,740,1
2013000337106,3,2700,5
2013000337771,8,840,15
2013000338066,4,1200,1
2013000338255,4,1200,1
2013000339371,9,260,1
2013000343063,6,1800,1
2013000343294,9,230,1
2013000344259,8,1600,3
2013000346117,5,1000,1
2013000346406,8,1600,1
2013000347044,5,1900,1
2013000348556,9,200,2
2013000349461,6,1600,2
2013000350101,5,3600,3
2013000350559,4,2100,1
2013000351818,5,1200,4
2013000352307,4,1500,5
2013000353471,9,250,5
2013000354421,6,2200,1
2013000355041,9,1500,3
2013000355210,4,3000,1
2013000355313,2,800,1
2013000356138,5,2400,3
2013000356863,2,600,2
2013000359341,5,2100,1
2013000359552,8,3600,9
2013000360403,4,4,1
2013000361215,9,1200,5
2013000363105,6,850,6
2013000363767,6,1000,1
2013000364400,8,2000,4
2013000365698,9,420,1
2013000365742,8,650,1
2013000366697,2,1700,2
2013000366884,4,3000,1
2013000367266,9,70,13
2013000369225,3,1900,2
2013000371960,4,2200,1
2013000372695,6,2900,11
2013000372808,5,2100,1
2013000372925,5,800,1
2013000373520,4,1600,4
2013000374903,8,500,6
2013000374937,2,800,1
2013000375288,2,3600,1
2013000376234,4,1400,4
2013000378358,3,3600,2
2013000380304,4,1500,5
2013000382748,5,400,2
2013000382858,9,1800,5
2013000384789,3,1500,3
2013000384850,5,2000,2
2013000386035,5,2000,4
2013000387324,9,3600,13
2013000387445,8,1100,8
2013000390562,8,2700,5
2013000393745,6,330,2
2013000393856,4,1600,5
2013000394886,2,2700,2
2013000394926,8,600,1
2013000396191,9,550,4
2013000396971,5,590,1
2013000397335,10,1300,3
2013000398814,6,750,1
2013000398877,6,1400,1
2013000399977,2,2800,2
2013000400161,5,930,3
2013000400679,9,1200,1
2013000401745,6,460,6
2013000402218,5,500,1
2013000402305,9,470,1
2013000403506,8,720,7
2013000403798,9,3000,13
2013000403944,4,3600,1
2013000407010,9,130,1
2013000409253,2,750,1
2013000410002,8,2400,5
2013000411438,3,2600,5
2013000412443,4,1300,1
2013000413356,3,2800,2
2013000414239,4,2000,3
2013000416225,9,630,3
2013000416445,5,1600,4
2013000417102,4,900,1
2013000417317,5,1500,4
2013000418800,8,830,4
2013000421227,8,2000,4
2013000421730,9,260,3
2013000422267,9,1300,3
2013000422960,2,3000,3
2013000422969,9,790,6
2013000423230,5,1700,1
2013000425092,2,3600,1
2013000426690,4,3600,1
2013000426800,8,2500,1
2013000427493,3,1200,1
2013000427784,8,2000,1
2013000428763,4,1800,2
2013000431528,2,2100,1
2013000432658,8,1500,5
2013000433231,9,400,3
2013000433839,8,1500,6
2013000434037,3,1400,6
2013000434509,6,1500,1
2013000435382,8,1500,1
2013000435899,6,2500,1
2013000437985,5,1500,1
2013000438248,9,260,4
2013000438846,6,1600,4
2013000440029,3,2500,2
2013000440579,8,1100,1
2013000441028,9,3000,4
2013000441821,9,3000,6
2013000443403,6,2300,8
2013000443755,3,500,1
2013000443913,6,1300,1
2013000444430,6,2000,4
2013000446833,5,2600,1
2013000447122,8,1900,5
2013000447714,5,1700,2
2013000448047,6,2000,3
2013000449565,9,1400,8
2013000449941,2,600,1
2013000449960,3,2300,3
2013000450530,9,1800,7
2013000451570,6,2500,1
2013000452817,6,2000,1
2013000453210,6,1000,1
2013000454240,3,2000,4
2013000454283,5,900,1
2013000454513,9,850,4
2013000456359,6,1000,5
2013000457357,6,550,3
2013000458105,4,500,1
2013000459724,4,2300,1
2013000460496,9,1200,1
2013000460689,4,1800,2
2013000461392,9,1200,1
2013000464471,9,750,1
2013000466325,9,1400,1
2013000466442,5,2000,6
2013000467519,5,2700,3
2013000468814,8,1200,1
2013000471059,8,1600,7
2013000473966,8,800,1
2013000474602,5,2400,1
2013000474846,9,210,2
2013000475012,4,1800,2
2013000475128,8,1000,5
2013000475702,6,2000,3
2013000475732,4,2000,1
2013000476986,5,3600,2
2013000477101,5,2700,1
2013000478244,3,620,2
2013000478457,2,2400,2
2013000480314,9,1300,6
2013000482587,4,2600,2
2013000482857,3,2200,1
2013000484451,9,1300,1
2013000485139,6,1400,1
2013000485490,2,2100,1
2013000487090,5,910,3
2013000488908,2,2500,3
2013000488976,8,2600,8
2013000490731,8,1400,1
2013000491242,9,2400,3
2013000491320,9,280,1
2013000492258,2,400,7
2013000493030,9,700,15
2013000494183,2,1100,1
2013000494235,9,1300,5
2013000494801,6,1500,1
2013000495332,8,1200,1
2013000495428,5,750,1
2013000495688,6,2200,1
2013000496114,5,590,4
2013000498563,8,600,5
2013000499353,5,900,6
2013000499761,8,300,1
2013000501042,6,3000,1
2013000501496,8,2400,1
2013000502033,8,1500,1
2013000502541,2,800,1
2013000502633,5,1600,2
2013000502992,6,1000,1
2013000503732,4,850,4
2013000504193,2,1000,1
2013000504855,4,1900,5
2013000505254,2,800,1
2013000505302,6,1900,5
2013000506793,9,320,1
2013000508915,8,1500,1
2013000510510,9,1900,4
2013000512291,2,590,5
2013000512986,9,60,1
2013000513401,9,200,9
2013000513911,4,2600,1
2013000514378,9,2000,4
2013000514818,4,1000,2
2013000514962,9,1700,2
2013000515181,9,1100,5
2013000515731,9,390,10
2013000517537,8,1300,3
2013000517696,6,3600,5
2013000517794,3,2500,5
2013000517963,9,560,13
2013000518996,5,600,1
2013000520029,9,1900,4
2013000521577,2,3600,3
2013000524563,5,1800,1
2013000525564,8,2100,1
2013000525840,4,2600,1
2013000525989,9,320,4
2013000528749,2,2500,2
2013000529485,8,1300,1
2013000529926,8,3000,1
2013000530248,4,1800,1
2013000530946,5,1400,1
2013000531373,2,1100,1
2013000532501,6,1600,1
2013000533480,6,1400,6
2013000534755,5,1200,6
2013000537455,4,1500,1
2013000538850,9,1700,3
2013000540875,9,1900,8
2013000541501,6,1200,1
2013000541757,9,250,5
2013000541829,5,2200,4
2013000542096,5,2300,1
2013000542698,9,980,3
2013000543039,3,1800,3
2013000543191,3,2400,1
2013000544675,4,2300,1
2013000546196,6,1000,4
2013000546970,8,1000,4
2013000547664,4,3600,1
2013000548292,2,2800,1
2013000549614,2,1100,2
2013000550288,5,900,3
2013000550565,9,560,6
2013000550631,4,2100,1
2013000551998,2,2500,1
2013000552131,9,2900,4
2013000553502,9,230,1
2013000554370,3,1500,1
2013000557385,3,230,7
2013000558450,5,1900,5
2013000559552,9,400,1
2013000560207,5,1900,2
2013000560401,3,1300,1
2013000562425,6,1600,1
2013000564611,4,830,1
2013000564881,3,3000,1
2013000565356,5,2200,1
2013000565523,5,1500,1
2013000567606,4,1700,2
2013000568441,3,2700,5
2013000570606,5,10,1
2013000572337,5,1400,1
2013000572690,8,1300,1
2013000573864,8,850,1
2013000575098,5,2400,2
2013000575116,9,160,1
2013000578745,8,1000,1
2013000579710,8,2600,1
2013000580409,6,1100,1
2013000580711,6,1700,2
2013000583905,4,3000,1
2013000584425,9,400,1
2013000584659,8,930,5
2013000584953,9,3000,4
2013000585239,3,950,3
2013000585252,9,700,4
2013000586031,8,2900,5
2013000587367,5,2300,1
2013000588129,2,2000,2
2013000588231,5,3100,4
2013000588265,9,1800,1
2013000588473,6,1600,4
2013000588971,2,3000,1
2013000589418,9,2300,7
2013000592760,4,3200,1
2013000592836,6,1400,1
2013000593180,5,3200,4
2013000593487,2,1100,4
2013000593812,9,1800,1
2013000594830,6,2100,5
2013000595769,2,2000,1
2013000595810,5,2800,1
2013000596274,5,1500,4
2013000597212,9,730,6
2013000597433,2,2500,1
2013000598191,8,2800,1
2013000598632,6,3000,6
2013000598669,6,1100,4
2013000599791,6,1500,2
2013000602116,8,720,3
2013000603542,5,1600,1
2013000604927,8,240,1
2013000605366,2,3000,1
2013000605498,6,1900,1
2013000606534,9,1400,1
2013000607350,6,960,1
2013000607681,4,250,4
2013000608791,5,3600,1
2013000610342,9,3200,2
2013000610913,4,2700,1
2013000610933,5,1400,5
2013000611431,2,1400,5
2013000612064,2,400,3
2013000612161,8,570,1
2013000613141,8,1000,3
2013000614146,6,630,1
2013000617523,10,1000,3
2013000617864,2,1200,7
2013000619323,5,580,1
2013000620465,9,3600,8
2013000620631,4,1900,6
2013000620846,4,3600,2
2013000623902,8,1100,1
2013000624101,8,1800,5
2013000624630,8,40,2
2013000625113,4,2000,1
2013000625316,2,1600,1
2013000625367,5,400,4
2013000625848,6,3000,1
2013000626336,6,600,3
2013000627621,9,2100,6
2013000628550,4,3600,2
2013000630192,3,1300,3
2013000630503,5,1600,1
2013000632124,5,2200,3
2013000632128,5,850,3
2013000632336,8,650,5
2013000632484,4,1900,1
2013000633133,5,530,1
2013000633194,4,1800,1
2013000634336,6,3000,1
2013000634459,5,800,3
2013000635857,5,3600,5
2013000635883,3,3600,6
2013000636123,8,2500,8
2013000637282,9,2400,4
2013000639722,5,1500,1
2013000639896,6,1700,1
