serialno,sporder,wagp,occp,rac1p,fhisp
2013000000240,1,50000,220,1,0
2013000000253,1,7400,2340,1,0
2013000000253,2,80000,1320,1,0
2013000000253,3,0,2010,1,0
2013000000253,4,9000,2340,1,0
2013000000637,1,50000,1050,6,0
2013000000637,2,43000,5000,6,0
2013000000637,3,,,6,0
2013000000637,4,,,6,0
2013000000637,5,0,,6,0
2013000000637,6,0,,6,0
2013000000857,1,74000,2310,2,0
2013000000916,1,50000,4110,1,0
2013000000916,2,90000,350,1,0
2013000000982,1,64000,2830,8,0
2013000001571,1,0,,6,0
2013000001571,2,0,8320,6,0
2013000001916,1,421000,1020,1,0
2013000001916,2,0,4250,1,0
2013000002424,1,5000,2340,1,0
2013000002424,2,70000,1360,1,0
2013000002424,3,0,1010,1,0
2013000002555,1,100000,120,1,0
2013000003565,1,0,4020,6,0
2013000003565,2,0,8530,6,0
2013000003565,3,32000,310,6,0
2013000003565,4,20000,9620,6,0
2013000003565,5,0,,6,0
2013000003565,6,0,,6,0
2013000003806,1,145000,1020,1,0
2013000003963,1,20000,800,1,0
2013000003963,2,60000,800,6,0
2013000003976,1,20000,9620,9,0
2013000005811,1,0,5000,1,0
2013000005847,1,45000,2310,1,0
2013000005847,2,19000,4710,1,0
2013000006373,1,0,2100,8,0
2013000006373,2,,,8,0
2013000007292,1,0,,6,0
2013000007292,2,0,,6,0
2013000007292,3,82000,800,6,0
2013000007292,4,25000,1006,6,0
2013000007582,1,0,2100,1,0
2013000007582,2,,,1,0
2013000007605,1,135000,136,1,0
2013000007605,2,30000,630,1,0
2013000007605,3,,,1,0
2013000007605,4,,,1,0
2013000008149,1,40000,4760,6,0
2013000008149,2,0,,6,0
2013000008149,3,,,6,0
2013000008150,1,0,4920,1,0
2013000008202,1,421000,710,1,0
2013000008202,2,70000,3060,6,0
2013000008202,3,,,9,0
2013000008337,1,0,4700,1,0
2013000008337,2,0,,1,0
2013000009357,1,2800,5400,9,0
2013000010036,1,0,6230,6,0
2013000010036,2,0,,6,0
2013000010036,3,0,,6,0
2013000010107,1,0,5700,1,0
2013000010139,1,0,,6,0
2013000010139,2,25000,4230,6,0
2013000010287,1,109000,120,1,0
2013000010287,2,53000,5000,1,0
2013000010807,1,85000,430,1,0
2013000010807,2,60000,3850,1,0
2013000010807,3,45000,5700,1,0
2013000010836,1,85000,1530,1,0
2013000011778,1,0,,8,0
2013000011778,2,42000,4220,8,0
2013000011778,3,,,8,0
2013000013177,1,85000,840,1,0
2013000013177,2,50000,2310,1,0
2013000013239,1,0,500,1,0
2013000013239,2,77000,10,1,0
2013000014011,1,105000,1300,1,0
2013000014011,2,1500,5700,1,0
2013000014011,3,,,1,0
2013000014011,4,,,1,0
2013000014101,1,0,,2,0
2013000015051,1,0,,6,0
2013000015056,1,25000,840,1,0
2013000015056,2,421000,1800,1,0
2013000015092,1,2500,5240,1,0
2013000017373,1,120000,740,1,0
2013000017559,1,49600,2630,6,0
2013000017559,2,0,,1,0
2013000019417,1,421000,2630,1,0
2013000019417,2,0,3630,1,0
2013000019682,1,145000,2750,1,0
2013000020039,1,0,4920,1,0
2013000020275,1,0,,1,1
2013000022440,1,0,,1,0
2013000022786,1,120000,850,1,0
2013000022786,2,51000,1050,1,0
2013000023030,1,0,,6,0
2013000023168,1,149000,3050,1,0
2013000023168,2,150000,4800,1,0
2013000023759,1,0,,1,0
2013000023759,2,0,,1,0
2013000023759,3,46800,9130,1,0
2013000023759,4,,,1,0
2013000023759,5,,,1,0
2013000023982,1,0,,2,0
2013000024029,1,0,,1,0
2013000024029,2,0,,1,0
2013000025053,1,0,7855,6,0
2013000025053,2,0,,6,0
2013000025053,3,0,3000,6,0
2013000025053,4,,,6,0
2013000025053,5,,,6,1
2013000025053,6,,,6,1
2013000025053,7,0,3010,6,0
2013000025368,1,400,9620,9,0
2013000025368,2,0,6050,9,0
2013000025368,3,0,,9,0
2013000025579,1,0,,6,0
2013000025700,1,60000,430,5,0
2013000025700,2,5000,726,1,0
2013000025709,1,90000,1050,1,0
2013000025709,2,0,20,1,0
2013000025798,1,1900,4230,6,0
2013000025798,2,0,,6,0
2013000025876,1,0,,1,0
2013000025876,2,15400,3850,9,0
2013000026247,1,20000,5400,6,0
2013000026247,2,0,,6,0
2013000026247,3,0,9920,6,0
2013000026247,4,0,,6,0
2013000026247,5,0,,6,0
2013000026247,6,2000,4020,6,0
2013000026247,7,15000,4110,6,0
2013000026925,1,810,4610,1,0
2013000026925,2,0,,6,0
2013000027044,1,90000,9050,1,0
2013000027390,1,44000,1760,1,0
2013000027772,1,25000,9620,1,0
2013000027772,2,23000,9720,1,0
2013000028446,1,421000,710,1,0
2013000028446,2,0,2850,1,0
2013000028446,3,,,1,0
2013000028586,1,0,,1,0
2013000028586,2,0,3230,1,0
2013000028619,1,0,,1,0
2013000028619,2,5000,9620,1,0
2013000028778,1,0,,6,0
2013000029003,1,14400,4020,6,0
2013000029003,2,0,,6,0
2013000029003,3,,,6,0
2013000029131,1,82000,2630,6,0
2013000029430,1,0,,6,0
2013000029699,1,235000,2100,1,0
2013000029699,2,32000,800,1,0
2013000031376,1,43000,4620,1,0
2013000032077,1,0,1820,6,0
2013000032521,1,22000,5410,1,0
2013000033270,1,0,4350,1,0
2013000033270,2,0,6260,1,0
2013000034389,1,28000,4220,1,0
2013000034389,2,0,7340,1,0
2013000034389,3,24000,3600,1,0
2013000034389,4,0,,1,0
2013000034389,5,,,1,0
2013000034507,1,6000,2200,1,0
2013000034507,2,42000,3910,1,0
2013000034549,1,12000,5700,6,0
2013000035145,1,24000,5250,1,0
2013000036098,1,0,,1,0
2013000036098,2,0,,1,0
2013000036276,1,0,,1,1
2013000036276,2,0,,1,0
2013000036412,1,87000,5700,1,0
2013000036419,1,421000,2800,1,0
2013000037104,1,0,9920,8,0
2013000037104,2,1700,4720,2,0
2013000037104,3,2000,4150,1,0
2013000037707,1,0,,8,0
2013000037799,1,0,,1,0
2013000037799,2,7400,4050,9,0
2013000037799,3,0,,9,0
2013000037799,4,0,,9,0
2013000037799,5,7600,2540,9,0
2013000037895,1,0,430,1,0
2013000037961,1,28800,5700,6,0
2013000037961,2,0,,6,0
2013000038012,1,0,,1,0
2013000038620,1,0,,1,0
2013000038884,1,0,,9,0
2013000038884,2,147000,230,1,0
2013000038966,1,140000,220,6,0
2013000038966,2,0,,6,0
2013000038966,3,0,,6,0
2013000039618,1,3600,2310,1,0
2013000039618,2,57000,5600,6,0
2013000039618,3,,,9,0
2013000039657,1,51000,5000,1,0
2013000039657,2,23900,3630,1,0
2013000040063,1,80000,2630,1,0
2013000040063,2,53000,800,1,0
2013000040443,1,15000,800,6,0
2013000040443,2,80000,850,6,0
2013000040443,3,,,6,0
2013000040443,4,70000,4820,6,0
2013000040737,1,61000,5700,6,0
2013000040737,2,0,,6,0
2013000040774,1,0,,1,0
2013000040774,2,0,,1,0
2013000040982,1,30000,5400,1,0
2013000040982,2,0,4030,1,0
2013000041232,1,75000,4965,1,0
2013000041232,2,,,1,0
2013000041232,3,,,1,0
