fips,renter_units_2000,renters_over30_2000,pct_costburdened_2000,renter_units_2017,renters_over30_2017,pct_costburdened_2017
06001422600,17,0,0,0,0,0
06001982000,6,0,0,3,0,0
06001430400,33,10,0.303030303,49,0,0
06013353001,143,60,0.41958042,107,0,0
06001451102,22,10,0.454545455,27,0,0
06001436402,60,28,0.466666667,109,0,0
06013355302,103,54,0.524271845,65,0,0
06075980200,41,22,0.536585366,22,0,0
06075980300,33,25,0.757575758,66,0,0
06001990000,0,0,0,0,0,0
06013990000,0,0,0,0,0,0
06075980401,0,0,0,0,0,0
06075990100,0,0,0,0,0,0
06001421100,76,28,0.368421053,62,6,0.096774194
06077003900,204,23,0.112745098,215,24,0.111627907
06001427100,370,97,0.262162162,435,50,0.114942529
06077004106,179,52,0.290502793,176,25,0.142045455
06001443103,60,0,0,97,14,0.144329897
06075021300,611,110,0.180032733,553,82,0.148282098
06001440305,167,60,0.359281437,131,20,0.152671756
06001430102,47,9,0.191489362,156,25,0.16025641
06001408000,72,28,0.388888889,133,22,0.165413534
06001443102,111,28,0.252252252,163,27,0.165644172
06075021100,1201,404,0.336386345,1047,176,0.168099331
06001421200,118,29,0.245762712,183,31,0.169398907
06075030500,267,92,0.344569288,288,49,0.170138889
06013302006,186,86,0.462365591,181,31,0.171270718
06075030900,205,48,0.234146341,122,21,0.172131148
06001441501,193,100,0.518134715,232,42,0.181034483
06001450751,6,0,0,319,59,0.184952978
06001451505,340,144,0.423529412,156,29,0.185897436
06001443321,372,95,0.255376344,674,126,0.18694362
06001443105,262,99,0.377862595,108,21,0.194444444
06001441921,466,91,0.19527897,755,151,0.2
06077004800,236,50,0.211864407,629,126,0.200317965
06075012901,1379,416,0.301667875,1174,236,0.201022147
06075016600,2054,643,0.313047712,2012,405,0.201292247
06001443301,149,64,0.429530201,166,34,0.204819277
06075022702,633,157,0.248025276,596,127,0.213087248
06075013000,1883,472,0.250663834,2096,456,0.217557252
06001400200,387,83,0.214470284,333,75,0.225225225
06013346201,223,176,0.789237668,204,46,0.225490196
06075021200,764,187,0.244764398,632,145,0.22943038
06013385100,101,26,0.257425743,134,31,0.231343284
06001450606,244,57,0.233606557,284,66,0.232394366
