Eviction ID,Address,City,State,Eviction Notice Source Zipcode,Year,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Supervisor District,Neighborhoods - Analysis Boundaries,Longitude,Latitude
M190941,700 Block Of Great  Highway,San Francisco,CA,94121,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Outer Richmond,-122.5110774,37.77401259
M130311,4700 Block Of Balboa  Street,San Francisco,CA,94121,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5096344,37.77520701
M132330,600 Block Of 48th  Avenue,San Francisco,CA,94121,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5090566,37.77564181
M110207,700 Block Of 48th  Avenue,San Francisco,CA,94121,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5089558,37.77424603
M190210,1500 Block Of Great  Highway,San Francisco,CA,94122,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508938,37.75748771
M152443,500 Block Of Point Lobos  Avenue,San Francisco,CA,94121,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Outer Richmond,-122.5089058,37.77994166
M152745,500 Block Of Point Lobos  Avenue,San Francisco,CA,94121,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5089058,37.77994166
M152503,500 Block Of Point Lobos  Avenue,San Francisco,CA,94121,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5089058,37.77994166
M131922,100 Block Of Seal Rock  Drive,San Francisco,CA,94121,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lincoln Park,-122.5088896,37.78072871
M142247,100 Block Of Seal Rock  Drive,San Francisco,CA,94121,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lincoln Park,-122.5088896,37.78072871
M142246,100 Block Of Seal Rock  Drive,San Francisco,CA,94121,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lincoln Park,-122.5088896,37.78072871
M121917,100 Block Of Seak Rock  Drive,San Francisco,CA,94121,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Outer Richmond,-122.5088814,37.78061905
M171555,8300 Block Of Geary  Boulevard,San Francisco,CA,94121,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088385,37.7790443
M130777,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M131565,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M130763,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M132098,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M131288,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M131184,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M131466,800 Block Of 48th  Avenue,San Francisco,CA,94121,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M150180,800 Block Of 48th  Avenue,San Francisco,CA,94121,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M150170,800 Block Of 48th  Avenue,San Francisco,CA,94121,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M191377,800 Block Of 48th  Avenue,San Francisco,CA,94121,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5088214,37.7723804
M140012,1600 Block Of Great  Highway,San Francisco,CA,94122,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5087994,37.75627659
M151338,100 Block Of Sutro Heights  Avenue,San Francisco,CA,94121,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Outer Richmond,-122.5086216,37.77606996
M110035,1700 Block Of Great  Highway,San Francisco,CA,94122,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508487,37.75376673
M120315,1700 Block Of Great  Highway,San Francisco,CA,94122,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508487,37.75376673
M171146,1700 Block Of Great  Highway,San Francisco,CA,94122,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508487,37.75376673
M172979,4200 Block Of Lawton  Street,San Francisco,CA,94122,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Sunset/Parkside,-122.5083575,37.75662984
M181593,7100 Block Of Fulton  Street,San Francisco,CA,94121,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Outer Richmond,-122.5082909,37.77152511
M142302,1300 Block Of 48th  Avenue,San Francisco,CA,94122,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5082021,37.761257
M152969,1300 Block Of 48th  Avenue,San Francisco,CA,94122,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5082021,37.761257
M110847,1200 Block Of 48th  Avenue,San Francisco,CA,94122,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5081959,37.76313623
M161278,600 Block Of 47th  Avenue,San Francisco,CA,94121,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5081271,37.77568423
M162266,600 Block Of 47th  Avenue,San Francisco,CA,94121,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5081271,37.77568423
M192223,1400 Block Of 48th  Avenue,San Francisco,CA,94122,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508071,37.75939479
M192222,1400 Block Of 48th  Avenue,San Francisco,CA,94122,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.508071,37.75939479
M170498,700 Block Of 47th  Avenue,San Francisco,CA,94121,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5080254,37.7742887
M170503,700 Block Of 47th  Avenue,San Francisco,CA,94121,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Outer Richmond,-122.5080254,37.7742887
M140556,1900 Block Of Great  Highway,San Francisco,CA,94116,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Sunset/Parkside,-122.5079953,37.75004529
M141304,4100 Block Of Noriega  Street,San Francisco,CA,94122,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079852,37.752795
M142717,1500 Block Of 48th  Avenue,San Francisco,CA,94122,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079397,37.75752926
M180927,1500 Block Of 48th  Avenue,San Francisco,CA,94122,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Sunset/Parkside,-122.5079397,37.75752926
